06-04 21:53:02.807|INFO |BlankPlugin#BlankPlugin:BlankPlugin stopped.
06-04 21:53:04.938|INFO |SuccessStory#PluginDatabaseObject`4:LoadDatabase with 0 items - 00:00.34
06-04 21:53:05.131|INFO |BlankPlugin#BlankPlugin:BlankPlugin started.
06-04 21:53:05.131|INFO |SuccessStory#<>c:ExophaseAchievements Initialization
06-04 21:53:05.131|INFO |SuccessStory#<>c:EpicApi Initialization
06-04 21:53:05.131|INFO |SuccessStory#<>c:GogApi Initialization
06-04 21:53:05.131|INFO |SuccessStory#<>c:SteamApi Initialization
06-04 21:53:05.131|INFO |SuccessStory#<>c:GameJoltApi Initialization
06-04 21:53:05.137|INFO |SuccessStory#<<OnApplicationStarted>b__70_0>d:All API initializations completed
06-04 21:55:22.781|INFO |BlankPlugin#BlankPlugin:BlankPlugin stopped.
06-04 21:55:24.837|INFO |SuccessStory#PluginDatabaseObject`4:LoadDatabase with 0 items - 00:00.33
06-04 21:55:25.029|INFO |BlankPlugin#BlankPlugin:BlankPlugin started.
06-04 21:55:25.029|INFO |SuccessStory#<>c:ExophaseAchievements Initialization
06-04 21:55:25.029|INFO |SuccessStory#<>c:EpicApi Initialization
06-04 21:55:25.029|INFO |SuccessStory#<>c:GogApi Initialization
06-04 21:55:25.029|INFO |SuccessStory#<>c:SteamApi Initialization
06-04 21:55:25.029|INFO |SuccessStory#<>c:GameJoltApi Initialization
06-04 21:55:25.029|INFO |SuccessStory#<<OnApplicationStarted>b__70_0>d:All API initializations completed
06-04 22:36:15.570|INFO |BlankPlugin#BlankPlugin:BlankPlugin stopped.
06-04 22:36:17.836|INFO |SuccessStory#PluginDatabaseObject`4:LoadDatabase with 0 items - 00:00.34
06-04 22:36:18.013|INFO |BlankPlugin#BlankPlugin:BlankPlugin started.
06-04 22:36:18.013|INFO |SuccessStory#<>c:ExophaseAchievements Initialization
06-04 22:36:18.013|INFO |SuccessStory#<>c:EpicApi Initialization
06-04 22:36:18.013|INFO |SuccessStory#<>c:GogApi Initialization
06-04 22:36:18.013|INFO |SuccessStory#<>c:SteamApi Initialization
06-04 22:36:18.013|INFO |SuccessStory#<>c:GameJoltApi Initialization
06-04 22:36:18.013|INFO |SuccessStory#<<OnApplicationStarted>b__70_0>d:All API initializations completed
06-04 22:36:44.252|ERROR|SuccessStory#Xbox360Achievements:Xbox360: Xenia path is null or empty
06-04 22:36:44.252|INFO |SuccessStory#Xbox360Achievements:Xbox360Achievements initialized with Xenia path: 
